,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
19,0.6931034337184877,0.14416039920634205,0.14416039920634205,0.1512735023809526,0.1512735023809526,0.9,0.9,0.9,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,1.0,0.6845130491524842,0.978496831205927,0.5263686083194484,0.8070862492461833,0.6963248795156538,0.9597494138104959,02,02_-_Misery
20,0.6658698862048891,0.18575963718820862,0.1606463078231286,0.22808474285714553,0.20941478730158813,0.8571428571428572,0.8181818181818182,0.9,0.8571428571428572,0.8181818181818182,0.9,0.823529411764706,0.7777777777777778,0.875,0.823529411764706,0.7777777777777778,0.875,0.6322580991031077,0.6770789677641588,0.5930028509510712,0.7733306607568208,0.7355810318449526,0.815164469535041,02,02_-_Norwegian_Wood_(This_Bird_Has_Flown)
21,0.7087228992512257,0.08644862222222294,0.05369700748298989,0.106922301020409,0.106922301020409,0.9,0.9,0.9,0.9,0.9,0.9,0.875,0.875,0.875,0.875,0.875,0.875,0.6137667061751945,0.9807982565288137,0.4466300657977453,0.7767690232630924,0.6533007515144469,0.9577815744237352,02,02_-_Something
22,0.6834701571006179,0.05789132766439309,0.042228392970521555,0.06281939478458298,0.06281939478458298,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6892352493464378,0.7250132711402738,0.6568223208583975,0.7842735486849004,0.7609759314925097,0.8090427530347857,02,02_-_The_Fool_On_The_Hill
23,0.666159227725619,0.12347229455782838,0.11855956326530048,0.13283340226757373,0.13283340226757373,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9613399484300741,0.9591711894628611,0.9635185370806986,0.9256307984988275,0.9268385095580084,0.9244262307443011,02,02_-_The_Night_Before
24,0.7701513041734369,0.04967908401360255,0.03775661643990702,0.05897369183672474,0.05897369183672474,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8720512690400786,0.9722325754752144,0.7905871655959603,0.8922805025711108,0.8441782494281791,0.9461958357923863,02,02_-_With_A_Little_Help_From_My_Friends
25,0.6800694003255598,0.1230566000000124,0.11770530226757359,0.17843947369613034,0.17843947369613034,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6376948890694514,0.7183444290299543,0.5733266942711882,0.7559142627042784,0.6829504080742121,0.8463333351663388,02,02_-_Yer_Blues
26,0.6522753274471194,0.11338603605442188,0.11024424557824375,0.12489982403629085,0.12489982403629085,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.608917821887955,0.4922652769529865,0.7980269961107298,0.694315172258821,0.7921586198883711,0.6179847987971434,03,03_-_Across_the_Universe
27,0.6680141898792717,0.18229382970521424,0.17882802222221983,0.22688784875283652,0.19547746780045827,0.8421052631578948,0.8,0.8888888888888888,0.8421052631578948,0.8,0.8888888888888888,0.7999999999999999,0.75,0.8571428571428571,0.7999999999999999,0.75,0.8571428571428571,0.7037050781974831,0.9713248893274452,0.5517003760918301,0.7881571055710366,0.6800041312100747,0.9372195568930086,03,03_-_All_My_Loving
28,0.6925531701694791,0.16586187335600844,0.14439570362811693,0.2495955793650806,0.18732804308389994,0.7826086956521738,0.75,0.8181818181818182,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.7368421052631577,0.7,0.7777777777777778,0.8421052631578948,0.8,0.8888888888888888,0.8235760601328901,0.97263061170911,0.7141355822251054,0.835471266302861,0.7539497466001057,0.9367592321743348,03,03_-_Anna_(Go_To_Him)
29,0.5767999962061027,0.47800811224489337,0.4813299086167788,0.49626874603175963,0.49046022551021196,0.6206896551724138,0.6,0.6428571428571429,0.896551724137931,0.8666666666666667,0.9285714285714286,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.8799999999999999,0.8461538461538461,0.9166666666666666,0.7307840730569961,0.905927668006148,0.6123902593717662,0.7841959398307947,0.7139324274876592,0.8697995161435736,03,03_-_Baby's_In_Black
30,0.7911950467390321,0.05909047256236022,0.05413083129251817,0.06751775340136193,0.07098539297052159,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.923076923076923,1.0,0.8571428571428571,0.6666666666666665,0.75,0.6,0.888888888888889,1.0,0.8,0.9725979143285466,0.9636068500933366,0.9817583435319023,0.9573443376844571,0.9616070641845882,0.9531192370369829,03,03_-_Flying
31,0.702877803815756,0.07190149092970444,0.062373192970521574,0.28528751405895747,0.28528751405895747,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8740369581243874,0.9730379335846606,0.7933211270919733,0.8602518876083026,0.7777122302673685,0.9623918436355885,03,03_-_Glass_Onion
32,0.6404400380034063,0.10537647664399685,0.08290720453514666,0.20082655555555107,0.20082655555555107,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.741730079699221,0.8115609458621161,0.6829643262422329,0.8101077708825669,0.7756318149916395,0.8477911264587249,03,03_-_I'm_Only_Sleeping
