,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,PWF,PWP,PWR,Sf,So,Su,ds_name,track_id
115,0.5829085126218092,0.5258104002267547,0.30664902063491795,0.7053600609977355,0.5258104002267547,0.5384615384615384,0.5,0.5833333333333334,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.5,0.8181818181818182,0.75,0.9,0.35727207020323487,0.4809921989675589,0.28417657586259537,0.33069128475879583,0.24570210690520577,0.5055694391229107,10,10_-_For_No_One
116,0.5761443852600394,1.5310826678004474,2.5729542180272134,3.3485848088435404,3.354058202947847,0.29629629629629634,0.3076923076923077,0.2857142857142857,0.5185185185185186,0.5384615384615384,0.5,0.17391304347826086,0.18181818181818182,0.16666666666666666,0.43478260869565216,0.45454545454545453,0.4166666666666667,0.44857010004834585,0.5025922586462291,0.40503417223846233,0.5542230313310921,0.5093598863188752,0.6077523373791229,10,10_-_Honey_Don't
117,0.6083659238943623,2.3927323337868494,2.774799228911567,3.1568661240362843,3.5023377103174624,0.3157894736842105,0.3333333333333333,0.3,0.5263157894736842,0.5555555555555556,0.5,0.13333333333333333,0.14285714285714285,0.125,0.39999999999999997,0.42857142857142855,0.375,0.6336436147674076,0.6039244890442559,0.6664390838693116,0.6561131188065932,0.6632673273018652,0.6491115984230864,10,10_-_I'm_Looking_Through_You
118,0.6302218310330651,0.3729683446712073,0.1444671,0.5521315394557823,0.5521315394557823,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4594974463095435,0.47276083753016046,0.4469579595211121,0.4187844966056942,0.39575120470715075,0.4446646199413731,10,10_-_I'm_So_Tired
119,0.588835786364775,4.673987865759642,2.050285262358276,5.4050793317460375,5.4050793317460375,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3730275950140587,0.2693028607673167,0.6067069400616467,0.4888313370820046,0.6450355308953504,0.3935321368989939,10,10_-_Lovely_Rita
120,0.5295766780147033,1.9976625045351497,2.8468038291383237,2.367327062811796,4.0311082739228965,0.2962962962962963,0.36363636363636365,0.25,0.5185185185185185,0.6363636363636364,0.4375,0.17391304347826086,0.2222222222222222,0.14285714285714285,0.43478260869565216,0.5555555555555556,0.35714285714285715,0.35835023854219383,0.36851620642028565,0.3487300946289606,0.44056219244969935,0.4225055665250076,0.4602310947685402,10,10_-_Savoy_Truffle
121,0.6083659238943623,1.3063323257369532,0.2886449129251716,2.884936886621304,1.9116552954648398,0.4210526315789474,0.4,0.4444444444444444,0.631578947368421,0.6,0.6666666666666666,0.26666666666666666,0.25,0.2857142857142857,0.5333333333333333,0.5,0.5714285714285714,0.5357973090379693,0.5415835944175449,0.5301333581153292,0.6545046980522946,0.6495556188142608,0.6595297721299727,10,10_-_Sun_King
122,0.5295766780147033,3.4829931972789154,0.8617627314059035,8.591936595691621,2.4147096140589497,0.15384615384615385,0.125,0.2,0.6153846153846154,0.5,0.8,0.0,0.0,0.0,0.5454545454545454,0.42857142857142855,0.75,0.4269047452822557,0.5026355962057852,0.37100617131762637,0.48752750494775554,0.41657457467463954,0.587612397271796,10,10_-_The_Long_and_Winding_Road
123,0.5743926646719121,1.3651580394557783,1.2533189731292502,2.885971567573696,1.4537002736961497,0.2608695652173913,0.23076923076923078,0.3,0.6956521739130435,0.6153846153846154,0.8,0.10526315789473685,0.09090909090909091,0.125,0.631578947368421,0.5454545454545454,0.75,0.6016856088170307,0.8537230975527992,0.46454260359951494,0.6149577714301472,0.5033245962881254,0.7902224948752954,10,10_-_Things_We_Said_Today
124,0.5167599979185825,0.6715099523809513,0.3232366462585066,1.6842263297052398,0.5362819053288019,0.4827586206896552,0.4117647058823529,0.5833333333333334,0.6896551724137931,0.5882352941176471,0.8333333333333334,0.4,0.3333333333333333,0.5,0.64,0.5333333333333333,0.8,0.36917109780767904,0.4384226967349908,0.3188126514191727,0.5008280491591455,0.4413646904453191,0.5788087092581119,10,10_-_You_Like_Me_Too_Much
125,0.5266215085276709,1.3871420679138282,4.161817155102057,2.6958246666666668,6.532800753514749,0.16,0.2,0.13333333333333333,0.48,0.6,0.4,0.0,0.0,0.0,0.380952380952381,0.5,0.3076923076923077,0.3801548177624676,0.39798650855720047,0.363852493393228,0.5064408739929775,0.4794105936154591,0.5367013393980349,10,10_-_You_Really_Got_A_Hold_On_Me
126,0.5550932463340537,1.1196645530612273,1.1196645530612273,1.6531056936507866,1.6531056936507866,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.36323686812090084,0.4049346548947943,0.3293249260802964,0.45490046724442734,0.3979077221703705,0.5309488315156354,11,11_-_All_You_Need_Is_Love
127,0.5816771095230489,1.1867421396825506,1.1867421396825506,1.8525825607709834,1.8708258727891156,0.33333333333333337,0.36363636363636365,0.3076923076923077,0.7500000000000001,0.8181818181818182,0.6923076923076923,0.19999999999999998,0.2222222222222222,0.18181818181818182,0.7000000000000001,0.7777777777777778,0.6363636363636364,0.49722705559574315,0.49255446430877026,0.5019891485040814,0.6121370831208107,0.6134658550012827,0.610814055059927,11,11_-_Black_Bird
128,0.4703750827786752,1.1423739892290268,0.7973131000000002,1.202063853401361,0.9857937546485331,0.2941176470588235,0.25,0.35714285714285715,0.7647058823529412,0.65,0.9285714285714286,0.2,0.16666666666666666,0.25,0.7333333333333334,0.6111111111111112,0.9166666666666666,0.4774874023298039,0.515322257806245,0.44482820582818167,0.4993458250986671,0.47184587748141393,0.5302496392447882,11,11_-_Cry_Baby_Cry
