,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.526621508527671,11.016392290249428,1.1563968253967971,12.005360544217723,7.9444716553287975,0.25,0.2,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.1,0.07692307692307693,0.14285714285714285,0.3,0.23076923076923078,0.42857142857142855,SALAMI,SALAMI_10
1,0.5832766800551464,23.43617346938776,0.4835306122449041,28.867421768707484,1.1217970521541971,0.28571428571428575,0.2,0.5,0.5714285714285715,0.4,1.0,0.0,0.0,0.0,0.4,0.25,1.0,SALAMI,SALAMI_100
2,0.5047756118369859,4.900385487528336,4.112562358276634,5.847058956916129,4.900385487528336,0.1875,0.16666666666666666,0.21428571428571427,0.375,0.3333333333333333,0.42857142857142855,0.07142857142857144,0.0625,0.08333333333333333,0.28571428571428575,0.25,0.3333333333333333,SALAMI,SALAMI_1000
3,0.5266215085276709,1.8545918367346985,1.8545918367346985,4.995702947845807,2.631183673469394,0.30769230769230765,0.26666666666666666,0.36363636363636365,0.5384615384615385,0.4666666666666667,0.6363636363636364,0.18181818181818185,0.15384615384615385,0.2222222222222222,0.4545454545454546,0.38461538461538464,0.5555555555555556,SALAMI,SALAMI_1002
4,0.48291970469828316,0.7426133786848084,1.0949160997732292,1.0949160997732292,1.518608843537427,0.4117647058823529,0.5,0.35,0.7647058823529412,0.9285714285714286,0.65,0.33333333333333337,0.4166666666666667,0.2777777777777778,0.7333333333333334,0.9166666666666666,0.6111111111111112,SALAMI,SALAMI_1004
5,0.4803184191980354,1.0426961451247223,5.324233560090718,1.2480521541950118,5.338453514739236,0.19999999999999998,0.2727272727272727,0.15789473684210525,0.5333333333333333,0.7272727272727273,0.42105263157894735,0.07692307692307691,0.1111111111111111,0.058823529411764705,0.46153846153846156,0.6666666666666666,0.35294117647058826,SALAMI,SALAMI_1006
6,0.5266215085276709,16.568467120181396,0.524722222222221,16.602201814058958,10.658753968253968,0.1739130434782609,0.13333333333333333,0.25,0.26086956521739135,0.2,0.375,0.0,0.0,0.0,0.10526315789473684,0.07692307692307693,0.16666666666666666,SALAMI,SALAMI_1008
7,0.5403026083468738,0.8882029478458016,1.6017335600907145,1.1289115646258523,2.943184807256241,0.3333333333333333,0.4,0.2857142857142857,0.6666666666666666,0.8,0.5714285714285714,0.2,0.25,0.16666666666666666,0.6,0.75,0.5,SALAMI,SALAMI_1010
8,0.5433476710871481,0.7683900226757352,0.5421133786848031,1.3937596371882002,1.792852607709733,0.3703703703703704,0.4166666666666667,0.3333333333333333,0.6666666666666665,0.75,0.6,0.2608695652173913,0.3,0.23076923076923078,0.608695652173913,0.7,0.5384615384615384,SALAMI,SALAMI_1012
9,0.5357938279961953,4.800820861678005,1.6787732426303805,8.649365079365111,6.725092970521558,0.16,0.15384615384615385,0.16666666666666666,0.48000000000000004,0.46153846153846156,0.5,0.0,0.0,0.0,0.380952380952381,0.36363636363636365,0.4,SALAMI,SALAMI_1014
10,0.5266215085276709,2.9263287981859207,2.9263287981859207,3.541768707482987,3.541768707482987,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,SALAMI,SALAMI_1016
11,0.592095414723503,0.44942743764172377,0.44515986394557383,0.5702913832199528,0.5702913832199528,0.5454545454545454,0.6,0.5,0.8181818181818182,0.9,0.75,0.4444444444444445,0.5,0.4,0.7777777777777777,0.875,0.7,SALAMI,SALAMI_1018
12,0.5138959006151934,1.5866621315192617,4.99242630385487,2.070621315192742,6.085235827664391,0.2222222222222222,0.2727272727272727,0.1875,0.5185185185185185,0.6363636363636364,0.4375,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.43478260869565216,0.5555555555555556,0.35714285714285715,SALAMI,SALAMI_1020
13,0.5502800083248099,2.080555555555577,2.996842403628115,3.3880498866213173,3.7280839002267605,0.2608695652173913,0.2727272727272727,0.25,0.5217391304347826,0.5454545454545454,0.5,0.10526315789473685,0.1111111111111111,0.1,0.4210526315789474,0.4444444444444444,0.4,SALAMI,SALAMI_1022
14,0.502001619189632,0.9755430839002202,1.9907029478458043,1.5402709750566785,2.6052993197278838,0.22222222222222224,0.3,0.17647058823529413,0.6666666666666667,0.9,0.5294117647058824,0.08695652173913045,0.125,0.06666666666666667,0.608695652173913,0.875,0.4666666666666667,SALAMI,SALAMI_1024
15,0.502001619189632,4.804492063492077,3.490746031746056,6.9135510204081925,3.681859410430846,0.21428571428571427,0.17647058823529413,0.2727272727272727,0.35714285714285715,0.29411764705882354,0.45454545454545453,0.08333333333333334,0.06666666666666667,0.1111111111111111,0.25,0.2,0.3333333333333333,SALAMI,SALAMI_1026
16,0.4434446222000432,11.61926984126984,1.8612063492063555,11.84019954648528,3.4934331065759636,0.1176470588235294,0.08695652173913043,0.18181818181818182,0.3529411764705882,0.2608695652173913,0.5454545454545454,0.0,0.0,0.0,0.26666666666666666,0.19047619047619047,0.4444444444444444,SALAMI,SALAMI_1028
17,,,,,,,,,,,,,,,,,,,
