,D,DevE2R,DevR2E,DevtE2R,DevtR2E,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,ds_name,track_id
0,0.6202530792244967,0.35750805442176803,1.7609302131519087,2.1560949115646166,3.047845006802717,0.380952380952381,0.4,0.36363636363636365,0.5714285714285713,0.6,0.5454545454545454,0.23529411764705882,0.25,0.2222222222222222,0.47058823529411764,0.5,0.4444444444444444,Epiphyte,Epiphyte_0001_12step
1,0.4429389587324722,4.607954097505669,0.1289218378684751,5.891643024943313,0.43224132879819166,0.3684210526315789,0.2692307692307692,0.5833333333333334,0.5263157894736842,0.38461538461538464,0.8333333333333334,0.29411764705882354,0.20833333333333334,0.5,0.47058823529411764,0.3333333333333333,0.8,Epiphyte,Epiphyte_0002_13stepstonowhere
2,0.5067281495551047,1.0321989750566871,0.19192229478458112,1.0895346666666796,0.2147662947845803,0.5454545454545454,0.47368421052631576,0.6428571428571429,0.8484848484848484,0.7368421052631579,1.0,0.4827586206896552,0.4117647058823529,0.5833333333333334,0.8275862068965517,0.7058823529411765,1.0,Epiphyte,Epiphyte_0003_6foot7foot
3,0.5660273828745788,0.6291822925170152,0.6384797437641794,0.6687969682539681,0.6687969682539681,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556,Epiphyte,Epiphyte_0004_abc
4,0.5999868966455678,0.23219954648526078,0.2251525170068045,1.214273265306126,0.7251038662131553,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.8,0.7692307692307693,0.8333333333333334,0.47619047619047616,0.45454545454545453,0.5,0.761904761904762,0.7272727272727273,0.8,Epiphyte,Epiphyte_0005_again
5,0.6083659238943623,0.21298594104308322,0.49238507256235486,0.7909298934240496,0.7813570487528381,0.47619047619047616,0.45454545454545453,0.5,0.8571428571428572,0.8181818181818182,0.9,0.35294117647058826,0.3333333333333333,0.375,0.823529411764706,0.7777777777777778,0.875,Epiphyte,Epiphyte_0006_aint2proud2beg
6,0.6083659238943623,0.6226105396825301,0.59506234920633,1.9552105034013598,1.4068517369614497,0.3157894736842105,0.3,0.3333333333333333,0.631578947368421,0.6,0.6666666666666666,0.13333333333333333,0.125,0.14285714285714285,0.5333333333333333,0.5,0.5714285714285714,Epiphyte,Epiphyte_0007_allthethingsthatgo
7,0.5223817198902911,0.6333754467120123,6.341704349206347,2.6565705158730255,6.6958524965986275,0.3333333333333333,0.4,0.2857142857142857,0.5,0.6,0.42857142857142855,0.2,0.25,0.16666666666666666,0.4,0.5,0.3333333333333333,Epiphyte,Epiphyte_0008_america
8,0.5888357863647751,1.051111111111111,1.051111111111111,1.3463947981859405,1.3463947981859405,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,Epiphyte,Epiphyte_0009_americanmusic
9,0.5047756118369859,2.174127882653073,1.6039503645124626,6.70267962698415,2.174127882653073,0.17647058823529413,0.16666666666666666,0.1875,0.5882352941176471,0.5555555555555556,0.625,0.06666666666666667,0.0625,0.07142857142857142,0.5333333333333333,0.5,0.5714285714285714,Epiphyte,Epiphyte_0010_andjusticeforall
